epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.1353,2.68237,3.92195,1.57196,0.00473,0.04099,0.00294,0.00152,2.07833,3.84344,1.2354,8.335e-05,8.335e-05,8.335e-05
2,105.313,2.07243,3.56764,1.2353,0.02824,0.2898,0.07155,0.02009,1.80444,3.65647,1.02015,0.000165216,0.000165216,0.000165216
3,132.94,1.73537,2.93784,1.0071,0.02686,0.30062,0.08821,0.03086,1.58931,3.58092,0.94932,0.000227279,0.000227279,0.000227279
4,157.865,1.62547,2.51287,0.98428,0.03527,0.32097,0.12916,0.04421,1.46616,3.49739,0.91102,0.000269537,0.000269537,0.000269537
5,185.499,1.6326,2.10635,0.96376,0.05463,0.38831,0.14929,0.06086,1.42536,3.38207,0.90405,0.000291992,0.000291992,0.000291992
6,209.853,1.55961,1.78346,0.94425,0.06786,0.39976,0.15791,0.07015,1.46864,3.28947,0.91847,0.000294642,0.000294642,0.000294642
7,235.568,1.55017,1.56278,0.94045,0.08004,0.38368,0.19744,0.09799,1.46532,3.16373,0.92328,0.000277489,0.000277489,0.000277489
8,261.55,1.50059,1.35259,0.94253,0.07514,0.37386,0.2007,0.0836,1.84034,3.10509,1.02081,0.000240531,0.000240531,0.000240531
9,287.593,1.52731,1.2043,0.93333,0.10185,0.45974,0.2943,0.14048,1.6424,2.91709,0.95459,0.00018377,0.00018377,0.00018377
10,312.055,1.51918,1.31838,0.94176,0.11494,0.57888,0.36501,0.21369,1.37383,2.72987,0.89203,0.000107205,0.000107205,0.000107205
