epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.3831,3.12983,4.00431,1.67512,0.00319,0.01209,0.00164,0.00075,2.26483,3.88203,1.35412,8.335e-05,8.335e-05,8.335e-05
2,58.6534,2.33723,3.6584,1.2943,0.00238,0.00763,0.0026,0.00103,1.89294,3.7186,1.09025,0.000180344,0.000180344,0.000180344
3,91.0284,1.85893,3.12585,1.04406,0.01299,0.13595,0.01539,0.00647,1.61398,3.63796,0.96968,0.000274038,0.000274038,0.000274038
4,124.006,1.67601,2.67039,1.01809,0.02567,0.21292,0.05737,0.01353,1.54308,3.48145,0.95171,0.000364431,0.000364431,0.000364431
5,154.764,1.61691,2.08519,0.96633,0.05339,0.33088,0.12502,0.04766,1.49611,3.35535,0.94635,0.000451524,0.000451524,0.000451524
6,184.778,1.65981,1.8189,0.94262,0.08221,0.35423,0.24806,0.12077,1.61842,3.15302,0.98123,0.000535315,0.000535315,0.000535315
7,210.762,1.63948,1.42661,0.9563,0.06907,0.3396,0.20047,0.06811,2.18348,2.98931,1.14321,0.000615806,0.000615806,0.000615806
8,246.427,1.59665,1.22586,0.95088,0.06054,0.42475,0.21111,0.08594,2.14708,2.78773,1.15147,0.000692997,0.000692997,0.000692997
9,282.283,1.568,1.21379,0.95865,0.0637,0.51254,0.33726,0.15841,1.71736,2.50798,1.02485,0.000766887,0.000766887,0.000766887
10,320.419,1.43043,1.01179,0.96079,0.91592,0.33985,0.3899,0.22448,1.49185,2.25906,0.96909,0.000837476,0.000837476,0.000837476
11,350.385,1.3758,0.98339,0.9581,0.98376,0.1813,0.40261,0.23558,1.37318,2.0438,0.92422,0.000904764,0.000904764,0.000904764
12,385.252,1.46581,0.94676,0.93476,0.95623,0.305,0.40343,0.22643,1.39798,1.88595,0.92697,0.000968752,0.000968752,0.000968752
13,414.172,1.53402,1.02456,0.95054,0.97588,0.32627,0.41761,0.25518,1.31125,1.73383,0.91113,0.00102944,0.00102944,0.00102944
14,444.741,1.45258,1.08078,0.94863,0.95981,0.3275,0.40897,0.22175,1.46763,1.65368,0.93384,0.00108683,0.00108683,0.00108683
15,474.147,1.32307,0.9164,0.90326,0.96299,0.35816,0.42207,0.2604,1.28656,1.4771,0.8969,0.00114091,0.00114091,0.00114091
16,504.486,1.31445,0.91966,0.92972,0.96021,0.38998,0.42952,0.24999,1.35604,1.23574,0.91339,0.0011917,0.0011917,0.0011917
17,532.469,1.3907,0.89185,0.92979,0.93942,0.38296,0.41918,0.23105,1.44541,1.19913,0.93167,0.00122691,0.00122691,0.00122691
18,563.828,1.28523,0.87333,0.92604,0.96054,0.40833,0.43701,0.28901,1.14809,0.96647,0.88,0.00119941,0.00119941,0.00119941
19,594.324,1.35388,0.88334,0.93527,0.95493,0.40457,0.43658,0.2783,1.19975,0.97471,0.89235,0.0011719,0.0011719,0.0011719
20,623.719,1.31865,0.86561,0.92009,0.93554,0.39541,0.42919,0.2627,1.2652,0.97958,0.90621,0.0011444,0.0011444,0.0011444
21,640.897,1.35228,0.81606,0.92253,0.95184,0.39985,0.43818,0.29573,1.11071,0.89829,0.87578,0.00111689,0.00111689,0.00111689
22,669.548,1.2299,0.79911,0.91375,0.9612,0.40836,0.46504,0.30442,1.2122,0.84996,0.89787,0.00108938,0.00108938,0.00108938
23,697.776,1.34114,0.87495,0.93027,0.96155,0.4084,0.48686,0.31597,1.23499,0.84701,0.90653,0.00106188,0.00106188,0.00106188
24,721.693,1.24793,0.79035,0.91173,0.96441,0.41504,0.54132,0.34829,1.11483,0.77729,0.87638,0.00103437,0.00103437,0.00103437
25,752.182,1.30762,0.8268,0.9094,0.96204,0.41285,0.51343,0.34586,1.12514,0.78818,0.87706,0.00100687,0.00100687,0.00100687
26,780.396,1.43581,1.01403,0.94535,0.95614,0.41019,0.529,0.33044,1.2301,0.81709,0.89138,0.000979362,0.000979362,0.000979362
27,803.257,1.32609,0.7926,0.91752,0.96138,0.41041,0.56751,0.36288,1.13419,0.78749,0.87623,0.000951857,0.000951857,0.000951857
28,828.983,1.19744,0.77701,0.91252,0.96941,0.4198,0.52167,0.35002,1.07795,0.72636,0.86757,0.000924352,0.000924352,0.000924352
29,856.491,1.27125,0.77902,0.8932,0.97071,0.41912,0.52401,0.34709,1.11631,0.73104,0.87456,0.000896846,0.000896846,0.000896846
30,883.467,1.21689,0.85313,0.91187,0.96906,0.41985,0.60845,0.37581,1.13436,0.71742,0.87384,0.00086934,0.00086934,0.00086934
31,910.719,1.24475,0.74276,0.88842,0.97331,0.41739,0.6508,0.40791,1.1097,0.71329,0.87095,0.000841835,0.000841835,0.000841835
